siRNA	replicate	TBP	PolQ	CtIP	Rad51	BRCA1	BRCA2	LigIV	exp
siNT	rep1	22.0866667	25.9366667	22.1966667	21.55	22.02	23.8166667	0	HR
siPolQ	rep1	22.1066667	26.9533333	22.07	21.6433333	22.05	23.73	0	HR
siCtIP	rep1	22.0266667	26.08	22.6366667	21.5233333	22.0033333	23.9166667	0	HR
siRad51	rep1	22.2933333	26.0633333	22.2666667	24.2533333	21.96	23.48	0	HR
siBRCA1	rep1	35.76	40	32.7033333	34.4266667	33.1	34.66	0	HR
siBRCA2	rep1	22.0766667	26.2633333	21.79	21.4966667	21.7566667	25.5666667	0	HR
siNT	rep2	22.0733333	26.23	21.78	21.64	21.7266667	23.24	0	HR
siPolQ	rep2	22.1966667	27.75	21.8533333	21.76	21.99	23.4966667	0	HR
siCtIP	rep2	22.5166667	26.92	21.94	21.8566667	21.8833333	24.8833333	0	HR
siRad51	rep2	22.2466667	26.54	22.04	24.56	21.8266667	23.2266667	0	HR
siBRCA1	rep2	22.4666667	26.6966667	21.6533333	21.6833333	23.3933333	23.2966667	0	HR
siBRCA2	rep2	22.5633333	26.92	21.94	21.8566667	21.8833333	24.8833333	0	HR
siNT	rep1	23.50666667	26.72666667	0	23.02666667	0	0	0	cell_viability
siNT	rep2	23.48666667	27.03333333	0	23.02666667	0	0	0	cell_viability
siNT	rep3	23.33333333	26.76	0	22.81333333	0	0	0	cell_viability
siNT	rep4	23.44333333	26.69	0	22.83333333	0	0	0	cell_viability
siRad51	rep1	23.74666667	26.94333333	0	26.00333333	0	0	0	cell_viability
siRad51	rep2	23.67333333	26.75333333	0	24.75333333	0	0	0	cell_viability
siRad51	rep3	23.61	26.77666667	0	25.51666667	0	0	0	cell_viability
siRad51	rep4	23.59333333	26.70666667	0	25.66666667	0	0	0	cell_viability
siNT	rep1	22.94	27.07333333	23.29333333	23.23	23.70666667	23.84	26.43	pathway_confirmation
siPolQ	rep1	23.255	28.25	23.37333333	23.4	23.55666667	24.41666667	26.60333333	pathway_confirmation
siLigIV	rep1	23.31666667	27.33333333	23.07333333	23.12	23.63666667	24.26	28.16	pathway_confirmation
siCtIP	rep1	23.6	27.4	25.51	23.44333333	23.64	24.23	26.62666667	pathway_confirmation
siRad51	rep1	23.375	27.30666667	23.18	26.4	23.56	24.31333333	26.45666667	pathway_confirmation
clone5	rep1	23.21333333	26.91666667	23.19333333	22.64333333	23.55666667	24.37	25.78333333	pathway_confirmation
siNT	rep2	22.88666667	27.13666667	23.465	23.21333333	23.53666667	24.16666667	26.14	pathway_confirmation
siPolQ	rep2	23.09	27.97666667	23.275	23.35666667	23.335	24.11	26.315	pathway_confirmation
siLigIV	rep2	22.96333333	27.17333333	23.49666667	23.21	23.38	24.11666667	28.26	pathway_confirmation
siCtIP	rep2	22.95333333	27.12333333	24.87	23.10333333	23.19666667	24.19	26.03	pathway_confirmation
siRad51	rep2	23.87666667	28.39	24.15666667	26.49666667	24.03666667	25.17333333	27.71	pathway_confirmation
clone5	rep2	23.25333333	26.68	22.93	22.61333333	22.52	24.27333333	25.235	pathway_confirmation
siNT	rep1b	22.94	26.71666667	22.67	23.68	24.89	26.18333333	26.02666667	pathway_confirmation
siNT	rep2b	22.78	27.03666667	23.58	23.85666667	25.015	27.61333333	27.15333333	pathway_confirmation
siRad51	rep1b	23.03666667	26.90666667	22.81	26.69666667	24.43	25.75	26.38666667	pathway_confirmation
siRad51	rep2b	24.76	29.3	26.64333333	28.26666667	26.84	29.14	29.69666667	pathway_confirmation
siNT	rep3	23.47333333	26.83	25.59333333	22.61	22.24333333	22.50333333	0	HR
siPolQ	rep3	23.66333333	27.56	25.65	22.77	22.51	22.69	0	HR
siBRCA1	rep3	23.58666667	26.83	25.84	22.77	23.77	22.56666667	0	HR
siRad51	rep3	23.68	26.79	25.97333333	22.78	22.63666667	23.48	0	HR
